Word,appearsInR,In R,appearsInPG,In PG,Difference
smears,50,10%,17,5%,5%
athletic,75,14%,33,10%,5%
tattooed,75,14%,33,10%,5%
adjoining,100,19%,49,15%,5%
jackets,100,19%,49,15%,5%
movies,150,29%,81,24%,5%
tom,150,29%,81,24%,5%
goddamnit,64,12%,26,8%,5%
retired,89,17%,42,13%,4%
drawer,250,48%,145,44%,4%
hispanic,53,10%,19,6%,4%
hookers,53,10%,19,6%,4%
pupils,53,10%,19,6%,4%
bricks,78,15%,35,11%,4%
burnt,103,20%,51,15%,4%
callin,42,8%,12,4%,4%
rice,67,13%,28,8%,4%
curls,117,23%,60,18%,4%
academy,56,11%,21,6%,4%
sniper,56,11%,21,6%,4%
squirms,81,16%,37,11%,4%
towels,106,20%,53,16%,4%
bust,131,25%,69,21%,4%
rifles,156,30%,85,26%,4%
devouring,45,9%,14,4%,4%
payphone,45,9%,14,4%,4%
pliers,34,7%,7,2%,4%
connection,170,33%,94,28%,4%
clothes,467,90%,284,86%,4%
killed,406,78%,245,74%,4%
bob,159,31%,87,26%,4%
wad,123,24%,64,19%,4%
